id,id2,name,HC01_EST_VC01,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC19,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC23,HC01_EST_VC24,HC01_EST_VC25,HC01_EST_VC27,HC01_EST_VC28,HC01_EST_VC30,HC01_EST_VC31,HC01_EST_VC32,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36
Id,Id2,Geography,Total employed population,Management,Business and financial operations,Computer and mathematics,Architecture and engineering,"Life, physical, and social science",Community and social services,Legal,"Education, training, and library","Arts, design, entertainment, sports, and media",Health diagnosing and treating practitioners,Health technologists and technicians,Healthcare support,Fire fighting and prevention,Law enforcement,Food preparation and serving,Building and grounds cleaning and maintenance,Personal care and service occupations,Sales,Office and administrative support,"Farming, fishing, and forestry",Construction and extraction,"Installation, maintenance, and repair",Production,Transportation,Material moving
0400000US01,1,Alabama,2022325,173163,78020,41208,40174,10962,33659,19139,122269,25023,84926,44857,44637,22424,21329,108610,81213,60869,217524,270542,11864,107345,80991,176367,81626,63584
0400000US02,2,Alaska,351108,35929,14183,5519,8490,5716,7713,3048,22585,5249,12809,5934,7110,4652,3492,20120,12069,13976,29810,49813,3809,24436,15698,14038,15451,9459
0400000US04,4,Arizona,2813406,264864,137094,76612,56246,19205,50089,27229,155233,46543,104269,48947,58463,44110,37539,177467,128356,113355,328559,409258,17386,141840,99243,118271,93691,59537
0400000US05,5,Arkansas,1256081,110265,43891,21689,13247,7642,21170,9455,81253,14506,50017,28333,33015,10691,12906,68923,50179,38882,134843,165163,16305,68830,49197,113639,51635,40405
0400000US06,6,California,17246360,1746911,863925,538724,369446,179690,263112,214180,940369,476612,590429,250386,346284,222060,143965,973459,750210,801605,1888333,2201552,285817,810978,484026,890471,552342,461474
0400000US08,8,Colorado,2624436,308269,146146,101016,63251,28353,42793,30348,148729,58689,96403,37086,55592,31044,25299,159772,95632,90913,290791,334562,14010,152257,79550,99876,86147,47908
0400000US09,9,Connecticut,1781417,191419,103658,51910,37378,18368,35545,25546,131836,37153,77758,32340,51213,20434,14619,89015,71640,69738,191317,227739,4429,79077,48131,92773,48934,29447
0400000US10,10,Delaware,433816,45341,21745,12966,6909,6255,8395,5531,27295,5857,17374,8717,11375,6255,4909,26041,17005,14574,44550,60252,2105,19690,15042,19364,15808,10461
0400000US11,11,District of Columbia,337815,52876,33595,18894,4356,11266,7772,25411,21542,19614,7898,2382,5541,6485,2046,15565,11949,9891,21124,37573,216,7181,2297,2627,6824,2890
0400000US12,12,Florida,8541291,835040,382691,183635,111456,45907,115184,110691,454048,157638,342812,169302,226466,133760,92470,576222,440014,287159,1113567,1221776,59317,419631,289813,295915,303750,173027
0400000US13,13,Georgia,4388274,444846,213505,122527,68028,31488,65632,44964,282171,75982,149238,79063,87884,50920,48800,252386,173397,130015,507786,579906,25966,216190,159414,271570,176818,129778
0400000US15,15,Hawaii,653284,58595,28376,11945,11076,5262,10861,6919,42650,13083,24528,8954,14277,13914,6528,51840,39686,22681,73814,87914,5303,36782,21604,19481,25991,11220
0400000US16,16,Idaho,715861,66163,26923,15109,13909,7004,11544,5767,43275,11731,26358,12018,19299,7685,6186,42079,26665,27039,75878,96504,19352,41774,24211,39689,30180,19519
0400000US17,17,Illinois,6086226,604060,328134,172616,99922,44730,95693,74562,373807,108482,240862,98981,140183,76325,57102,334701,223638,225733,654188,839409,18835,250673,174927,414280,239585,194798
0400000US18,18,Indiana,3038762,267748,117594,52452,55435,21579,48990,24776,171891,41482,120857,60323,74474,30946,26290,181295,112803,91446,307075,400980,13246,144882,109982,322472,118311,121433
0400000US19,19,Iowa,1573510,156326,70085,33721,24931,12474,26725,10564,97423,22168,62101,26058,39855,11920,9782,87881,52726,59525,154120,213016,17538,76211,53543,137249,60548,57020
0400000US20,20,Kansas,1401197,144159,62965,33700,25743,9747,23788,13002,97163,21008,57658,26137,38144,12286,12337,75602,50809,45333,135950,185955,13221,75494,50307,101938,47715,41036
0400000US21,21,Kentucky,1891381,164163,72127,32390,25812,10308,35262,16826,117009,23216,83272,42374,46094,19698,17218,110249,66040,59396,190174,261615,13055,99048,68738,170136,77019,70142
0400000US22,22,Louisiana,2016049,169867,74078,23760,36951,14809,30640,25216,120337,29735,81202,47523,51889,25773,27420,130202,76536,75117,216240,265699,13152,153007,78314,118788,85206,44588
0400000US23,23,Maine,648687,59568,25753,11299,10281,6177,14168,5148,44780,11445,28823,12339,20866,6014,5313,38922,24462,24511,68451,86841,10251,37446,21943,36874,23221,13791
