id,id2,name,HC01_EST_VC01,HC01_EST_VC02,HC01_EST_VC03,HC01_EST_VC04,HC01_EST_VC05,HC01_EST_VC06,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC18,HC01_EST_VC19,HC01_EST_VC20,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC23,HC01_EST_VC24,HC01_EST_VC25,HC01_EST_VC26,HC01_EST_VC27,HC01_EST_VC28,HC01_EST_VC29,HC01_EST_VC30,HC01_EST_VC31,HC01_EST_VC32,HC01_EST_VC33,HC01_EST_VC34,HC01_EST_VC35,HC01_EST_VC36
Id,Id2,Geography,Total; Estimate; Civilian employed population 16 years and over,"Total; Estimate; Management, business, science, and arts occupations:","Total; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:","Total; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations","Total; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations","Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:","Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations","Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations","Total; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations","Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:","Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations","Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations","Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations","Total; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations","Total; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:","Total; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations","Total; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians",Total; Estimate; Service occupations:,Total; Estimate; Service occupations: - Healthcare support occupations,Total; Estimate; Service occupations: - Protective service occupations:,"Total; Estimate; Service occupations: - Protective service occupations: - Fire fighting and prevention, and other protective service workers including supervisors",Total; Estimate; Service occupations: - Protective service occupations: - Law enforcement workers including supervisors,Total; Estimate; Service occupations: - Food preparation and serving related occupations,Total; Estimate; Service occupations: - Building and grounds cleaning and maintenance occupations,Total; Estimate; Service occupations: - Personal care and service occupations,Total; Estimate; Sales and office occupations:,Total; Estimate; Sales and office occupations: - Sales and related occupations,Total; Estimate; Sales and office occupations: - Office and administrative support occupations,"Total; Estimate; Natural resources, construction, and maintenance occupations:","Total; Estimate; Natural resources, construction, and maintenance occupations: - Farming, fishing, and forestry occupations","Total; Estimate; Natural resources, construction, and maintenance occupations: - Construction and extraction occupations","Total; Estimate; Natural resources, construction, and maintenance occupations: - Installation, maintenance, and repair occupations","Total; Estimate; Production, transportation, and material moving occupations:","Total; Estimate; Production, transportation, and material moving occupations: - Production occupations","Total; Estimate; Production, transportation, and material moving occupations: - Transportation occupations","Total; Estimate; Production, transportation, and material moving occupations: - Material moving occupations"
0400000US01,01,Alabama,2022325,673400,251183,173163,78020,92344,41208,40174,10962,200090,33659,19139,122269,25023,129783,84926,44857,339082,44637,43753,22424,21329,108610,81213,60869,488066,217524,270542,200200,11864,107345,80991,321577,176367,81626,63584
0400000US02,02,Alaska,351108,127175,50112,35929,14183,19725,5519,8490,5716,38595,7713,3048,22585,5249,18743,12809,5934,61419,7110,8144,4652,3492,20120,12069,13976,79623,29810,49813,43943,3809,24436,15698,38948,14038,15451,9459
0400000US04,04,Arizona,2813406,986331,401958,264864,137094,152063,76612,56246,19205,279094,50089,27229,155233,46543,153216,104269,48947,559290,58463,81649,44110,37539,177467,128356,113355,737817,328559,409258,258469,17386,141840,99243,271499,118271,93691,59537
0400000US05,05,Arkansas,1256081,401468,154156,110265,43891,42578,21689,13247,7642,126384,21170,9455,81253,14506,78350,50017,28333,214596,33015,23597,10691,12906,68923,50179,38882,300006,134843,165163,134332,16305,68830,49197,205679,113639,51635,40405
0400000US06,06,California,17246360,6433784,2610836,1746911,863925,1087860,538724,369446,179690,1894273,263112,214180,940369,476612,840815,590429,250386,3237583,346284,366025,222060,143965,973459,750210,801605,4089885,1888333,2201552,1580821,285817,810978,484026,1904287,890471,552342,461474
0400000US08,08,Colorado,2624436,1061083,454415,308269,146146,192620,101016,63251,28353,280559,42793,30348,148729,58689,133489,96403,37086,458252,55592,56343,31044,25299,159772,95632,90913,625353,290791,334562,245817,14010,152257,79550,233931,99876,86147,47908
0400000US09,09,Connecticut,1781417,742911,295077,191419,103658,107656,51910,37378,18368,230080,35545,25546,131836,37153,110098,77758,32340,316659,51213,35053,20434,14619,89015,71640,69738,419056,191317,227739,131637,4429,79077,48131,171154,92773,48934,29447
0400000US10,10,Delaware,433816,166385,67086,45341,21745,26130,12966,6909,6255,47078,8395,5531,27295,5857,26091,17374,8717,80159,11375,11164,6255,4909,26041,17005,14574,104802,44550,60252,36837,2105,19690,15042,45633,19364,15808,10461
0400000US11,11,District of Columbia,337815,205606,86471,52876,33595,34516,18894,4356,11266,74339,7772,25411,21542,19614,10280,7898,2382,51477,5541,8531,6485,2046,15565,11949,9891,58697,21124,37573,9694,216,7181,2297,12341,2627,6824,2890
